epoch,block,loss,accuracy,condition,phase
0,0,1.3992852084338665,0.2459445529513889,average,train
0,0,,0.2642440277138685,binary,train
0,0,,0.23640261283757538,quaternary,train
0,0,,0.23416797526772545,ternary,train
0,0,1.3827874958515167,0.2861328125,average,test
0,0,,0.2788011061087369,binary,test
0,0,,0.31022709642667523,quaternary,test
0,0,,0.2399316539495574,ternary,test
0,0,1.4055535793304443,0.32407407407407407,average,validation
0,0,,0.2777777777777778,binary,validation
0,0,,0.3333333333333333,quaternary,validation
0,0,,0.3611111111111111,ternary,validation
200,0,3.988889293538023e-06,1.0,average,train
200,0,,1.0,binary,train
200,0,,1.0,quaternary,train
200,0,,1.0,ternary,train
200,0,0.34083829121664166,0.953125,average,test
200,0,,0.9972222222222222,binary,test
200,0,,0.9014643950097693,quaternary,test
200,0,,0.9909262485481998,ternary,test
200,0,0.39868298172950745,0.9537037037037037,average,validation
200,0,,0.9722222222222222,binary,validation
200,0,,0.9722222222222222,quaternary,validation
200,0,,0.9166666666666666,ternary,validation
400,0,5.8207657444020455e-11,1.0,average,train
400,0,,1.0,binary,train
400,0,,1.0,quaternary,train
400,0,,1.0,ternary,train
400,0,0.14719975351817993,0.9833984375,average,test
400,0,,0.9974025974025975,binary,test
400,0,,0.9616895368225156,quaternary,test
400,0,,0.991716057483381,ternary,test
400,0,0.669935941696167,0.9444444444444444,average,validation
400,0,,0.9722222222222222,binary,validation
400,0,,0.9444444444444444,quaternary,validation
400,0,,0.9166666666666666,ternary,validation
600,0,0.0,1.0,average,train
600,0,,1.0,binary,train
600,0,,1.0,quaternary,train
600,0,,1.0,ternary,train
600,0,0.18188086990262242,0.9833984375,average,test
600,0,,0.9969512195121951,binary,test
600,0,,0.9650608067885621,quaternary,test
600,0,,0.9883522727272727,ternary,test
600,0,0.7985132336616516,0.9444444444444444,average,validation
600,0,,0.9722222222222222,binary,validation
600,0,,0.9444444444444444,quaternary,validation
600,0,,0.9166666666666666,ternary,validation
800,0,0.0,1.0,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,1.0,ternary,train
800,0,0.19053976982831955,0.9833984375,average,test
800,0,,0.9964285714285714,binary,test
800,0,,0.9636740690659455,quaternary,test
800,0,,0.9861871122075204,ternary,test
800,0,0.8314265608787537,0.9444444444444444,average,validation
800,0,,0.9722222222222222,binary,validation
800,0,,0.9444444444444444,quaternary,validation
800,0,,0.9166666666666666,ternary,validation
1000,0,0.0,1.0,average,train
1000,0,,1.0,binary,train
1000,0,,1.0,quaternary,train
1000,0,,1.0,ternary,train
1000,0,0.19500900525599718,0.9833984375,average,test
1000,0,,0.9971428571428572,binary,test
1000,0,,0.96280048296199,quaternary,test
1000,0,,0.9862268263831805,ternary,test
1000,0,0.847797691822052,0.9444444444444444,average,validation
1000,0,,0.9722222222222222,binary,validation
1000,0,,0.9444444444444444,quaternary,validation
1000,0,,0.9166666666666666,ternary,validation
1200,0,0.0,1.0,average,train
1200,0,,1.0,binary,train
1200,0,,1.0,quaternary,train
1200,0,,1.0,ternary,train
1200,0,0.19801938779500006,0.9833984375,average,test
1200,0,,0.9965277777777778,binary,test
1200,0,,0.9650719713910121,quaternary,test
1200,0,,0.987356138107417,ternary,test
1200,0,0.8590808510780334,0.9444444444444444,average,validation
1200,0,,0.9722222222222222,binary,validation
1200,0,,0.9444444444444444,quaternary,validation
1200,0,,0.9166666666666666,ternary,validation
1400,0,0.0,1.0,average,train
1400,0,,1.0,binary,train
1400,0,,1.0,quaternary,train
1400,0,,1.0,ternary,train
1400,0,0.2002975633367896,0.9833984375,average,test
1400,0,,0.9973958333333333,binary,test
1400,0,,0.9620425831982737,quaternary,test
1400,0,,0.9892621942393979,ternary,test
1400,0,0.8676837086677551,0.9444444444444444,average,validation
1400,0,,0.9722222222222222,binary,validation
1400,0,,0.9444444444444444,quaternary,validation
1400,0,,0.9166666666666666,ternary,validation
1600,0,0.0,1.0,average,train
1600,0,,1.0,binary,train
1600,0,,1.0,quaternary,train
1600,0,,1.0,ternary,train
1600,0,0.20211796695366502,0.9833984375,average,test
1600,0,,0.99609375,binary,test
1600,0,,0.9661726718989483,quaternary,test
1600,0,,0.9873404654654655,ternary,test
1600,0,0.874413013458252,0.9444444444444444,average,validation
1600,0,,0.9722222222222222,binary,validation
1600,0,,0.9444444444444444,quaternary,validation
1600,0,,0.9166666666666666,ternary,validation
1800,0,0.0,1.0,average,train
1800,0,,1.0,binary,train
1800,0,,1.0,quaternary,train
1800,0,,1.0,ternary,train
1800,0,0.20357388257980347,0.9833984375,average,test
1800,0,,0.9966216216216216,binary,test
1800,0,,0.9649801469290109,quaternary,test
1800,0,,0.9889848602484472,ternary,test
1800,0,0.8799662590026855,0.9444444444444444,average,validation
1800,0,,0.9722222222222222,binary,validation
1800,0,,0.9444444444444444,quaternary,validation
1800,0,,0.9166666666666666,ternary,validation
2000,0,0.0,1.0,average,train
2000,0,,1.0,binary,train
2000,0,,1.0,quaternary,train
2000,0,,1.0,ternary,train
2000,0,0.2048394689506381,0.9833984375,average,test
2000,0,,0.9971590909090909,binary,test
2000,0,,0.9648082720581229,quaternary,test
2000,0,,0.9897826086956522,ternary,test
2000,0,0.8845181465148926,0.9444444444444444,average,validation
2000,0,,0.9722222222222222,binary,validation
2000,0,,0.9444444444444444,quaternary,validation
2000,0,,0.9166666666666666,ternary,validation
2200,0,0.0,1.0,average,train
2200,0,,1.0,binary,train
2200,0,,1.0,quaternary,train
2200,0,,1.0,ternary,train
2200,0,0.2059236103668809,0.9833984375,average,test
2200,0,,0.996875,binary,test
2200,0,,0.9615333099311244,quaternary,test
2200,0,,0.9876761031366295,ternary,test
2200,0,0.888805091381073,0.9444444444444444,average,validation
2200,0,,0.9722222222222222,binary,validation
2200,0,,0.9444444444444444,quaternary,validation
2200,0,,0.9166666666666666,ternary,validation
2400,0,0.0,1.0,average,train
2400,0,,1.0,binary,train
2400,0,,1.0,quaternary,train
2400,0,,1.0,ternary,train
2400,0,0.20687749120406806,0.9833984375,average,test
2400,0,,0.997093023255814,binary,test
2400,0,,0.9648159005628518,quaternary,test
2400,0,,0.9872986036519871,ternary,test
2400,0,0.8928266763687134,0.9444444444444444,average,validation
2400,0,,0.9722222222222222,binary,validation
2400,0,,0.9444444444444444,quaternary,validation
2400,0,,0.9166666666666666,ternary,validation
