epoch,block,loss,accuracy,condition,phase
0,0,1.3909249175339937,0.2594536675347222,average,train
0,0,,0.26389417987486935,binary,train
0,0,,0.2584775709920319,quaternary,train
0,0,,0.25360111216449316,ternary,train
0,0,1.3940619081258774,0.2060546875,average,test
0,0,,0.25987690730060586,binary,test
0,0,,0.22384999989858795,quaternary,test
0,0,,0.19065914247650187,ternary,test
0,0,1.389163613319397,0.2777777777777778,average,validation
0,0,,0.2777777777777778,binary,validation
0,0,,0.2222222222222222,quaternary,validation
0,0,,0.3333333333333333,ternary,validation
200,0,0.0006142544998510857,1.0,average,train
200,0,,1.0,binary,train
200,0,,1.0,quaternary,train
200,0,,1.0,ternary,train
200,0,0.8474360145628452,0.8271484375,average,test
200,0,,0.9183438512706805,binary,test
200,0,,0.7664772727272727,quaternary,test
200,0,,0.8341271696107965,ternary,test
200,0,4.878185749053955,0.35185185185185186,average,validation
200,0,,0.5555555555555556,binary,validation
200,0,,0.2222222222222222,quaternary,validation
200,0,,0.2777777777777778,ternary,validation
400,0,3.8189037665503633e-07,1.0,average,train
400,0,,1.0,binary,train
400,0,,1.0,quaternary,train
400,0,,1.0,ternary,train
400,0,1.7285892963409424,0.8251953125,average,test
400,0,,0.9170998462925948,binary,test
400,0,,0.7006062049395768,quaternary,test
400,0,,0.868917898248637,ternary,test
400,0,8.343411445617676,0.3611111111111111,average,validation
400,0,,0.5833333333333334,binary,validation
400,0,,0.19444444444444445,quaternary,validation
400,0,,0.3055555555555556,ternary,validation
600,0,0.0,1.0,average,train
600,0,,1.0,binary,train
600,0,,1.0,quaternary,train
600,0,,1.0,ternary,train
600,0,2.952132672071457,0.822265625,average,test
600,0,,0.9202909309221602,binary,test
600,0,,0.7283474576933611,quaternary,test
600,0,,0.841028416028416,ternary,test
600,0,11.116111755371094,0.3611111111111111,average,validation
600,0,,0.5555555555555556,binary,validation
600,0,,0.2222222222222222,quaternary,validation
600,0,,0.3055555555555556,ternary,validation
800,0,0.0,1.0,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,1.0,ternary,train
800,0,2.5690132081508636,0.8251953125,average,test
800,0,,0.9178827801720556,binary,test
800,0,,0.7289910130718954,quaternary,test
800,0,,0.8672446163160711,ternary,test
800,0,12.204978942871094,0.3888888888888889,average,validation
800,0,,0.5833333333333334,binary,validation
800,0,,0.2222222222222222,quaternary,validation
800,0,,0.3611111111111111,ternary,validation
1000,0,0.0,1.0,average,train
1000,0,,1.0,binary,train
1000,0,,1.0,quaternary,train
1000,0,,1.0,ternary,train
