epoch,block,loss,accuracy,condition,phase
0,0,1.3945726193487644,0.2550048828125,average,train
0,0,,0.24976158362500622,binary,train
0,0,,0.25400622403305056,quaternary,train
0,0,,0.2625752826865154,ternary,train
0,0,1.3875601142644882,0.1943359375,average,test
0,0,,0.1946338311953898,binary,test
0,0,,0.20063275955389323,quaternary,test
0,0,,0.21087983653773126,ternary,test
0,0,1.3950754404067993,0.2222222222222222,average,validation
0,0,,0.25,binary,validation
0,0,,0.25,quaternary,validation
0,0,,0.16666666666666666,ternary,validation
200,0,1.845135244593621e-05,1.0,average,train
200,0,,1.0,binary,train
200,0,,1.0,quaternary,train
200,0,,1.0,ternary,train
200,0,0.3513475097702212,0.9443359375,average,test
200,0,,0.9802380099909638,binary,test
200,0,,0.8904579448329448,quaternary,test
200,0,,0.9569090105549456,ternary,test
200,0,1.795403003692627,0.7222222222222222,average,validation
200,0,,0.6944444444444444,binary,validation
200,0,,0.6666666666666666,quaternary,validation
200,0,,0.8055555555555556,ternary,validation
400,0,9.950275351930382e-09,1.0,average,train
400,0,,1.0,binary,train
400,0,,1.0,quaternary,train
400,0,,1.0,ternary,train
400,0,0.6221744120121002,0.94140625,average,test
400,0,,0.978351843786295,binary,test
400,0,,0.8762585411104574,quaternary,test
400,0,,0.9455957950303648,ternary,test
400,0,3.0556797981262207,0.7407407407407407,average,validation
400,0,,0.7222222222222222,binary,validation
400,0,,0.6666666666666666,quaternary,validation
400,0,,0.8333333333333334,ternary,validation
600,0,0.0,1.0,average,train
600,0,,1.0,binary,train
600,0,,1.0,quaternary,train
600,0,,1.0,ternary,train
600,0,1.2310079336166382,0.912109375,average,test
600,0,,0.9796591097751995,binary,test
600,0,,0.7714237205288156,quaternary,test
600,0,,0.9534768163511259,ternary,test
600,0,3.9340085983276367,0.75,average,validation
600,0,,0.7222222222222222,binary,validation
600,0,,0.6944444444444444,quaternary,validation
600,0,,0.8333333333333334,ternary,validation
800,0,0.0,1.0,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,1.0,ternary,train
800,0,0.8568854406476021,0.94140625,average,test
800,0,,0.9751670733886877,binary,test
800,0,,0.8967837849196161,quaternary,test
