epoch,block,loss,accuracy,condition,phase
0,0,1.3943059388548136,0.249755859375,average,train
0,0,,0.24924460687357627,binary,train
0,0,,0.2463901354123169,quaternary,train
0,0,,0.25463823980943723,ternary,train
0,0,1.3874171823263168,0.1943359375,average,test
0,0,,0.1946338311953898,binary,test
0,0,,0.20063275955389323,quaternary,test
0,0,,0.21087983653773126,ternary,test
0,0,1.3910316228866577,0.2222222222222222,average,validation
0,0,,0.25,binary,validation
0,0,,0.25,quaternary,validation
0,0,,0.16666666666666666,ternary,validation
200,0,7.424276481060588e-05,1.0,average,train
200,0,,1.0,binary,train
200,0,,1.0,quaternary,train
200,0,,1.0,ternary,train
200,0,0.610461875796318,0.896484375,average,test
200,0,,0.9730357898456717,binary,test
200,0,,0.811269425019425,quaternary,test
200,0,,0.9312664983052905,ternary,test
200,0,1.9914010763168335,0.6666666666666666,average,validation
200,0,,0.6944444444444444,binary,validation
200,0,,0.6111111111111112,quaternary,validation
200,0,,0.6944444444444444,ternary,validation
400,0,6.30146297919687e-08,1.0,average,train
400,0,,1.0,binary,train
400,0,,1.0,quaternary,train
400,0,,1.0,ternary,train
400,0,0.7549515180289745,0.921875,average,test
400,0,,0.968543481416957,binary,test
400,0,,0.8528046140851019,quaternary,test
400,0,,0.9214354454560185,ternary,test
400,0,3.554298162460327,0.6759259259259259,average,validation
400,0,,0.7222222222222222,binary,validation
400,0,,0.5833333333333334,quaternary,validation
400,0,,0.7222222222222222,ternary,validation
600,0,4.064048356511307e-06,1.0,average,train
600,0,,1.0,binary,train
600,0,,1.0,quaternary,train
600,0,,1.0,ternary,train
600,0,0.4361559166572988,0.935546875,average,test
600,0,,0.997093023255814,binary,test
600,0,,0.7895056392009923,quaternary,test
600,0,,0.9877059885959937,ternary,test
600,0,0.7113295197486877,0.8981481481481481,average,validation
600,0,,0.9166666666666666,binary,validation
600,0,,0.8611111111111112,quaternary,validation
600,0,,0.9166666666666666,ternary,validation
800,0,7.458664342402388e-09,1.0,average,train
800,0,,1.0,binary,train
800,0,,1.0,quaternary,train
800,0,,1.0,ternary,train
800,0,0.30400764383375645,0.966796875,average,test
800,0,,0.9964285714285714,binary,test
800,0,,0.9168501474723394,quaternary,test
800,0,,0.988376751639833,ternary,test
800,0,1.4002716541290283,0.8888888888888888,average,validation
800,0,,0.8888888888888888,binary,validation
800,0,,0.8611111111111112,quaternary,validation
800,0,,0.9166666666666666,ternary,validation
1000,0,0.0,1.0,average,train
1000,0,,1.0,binary,train
1000,0,,1.0,quaternary,train
1000,0,,1.0,ternary,train
1000,0,0.3904876448214054,0.96484375,average,test
1000,0,,0.9912790697674418,binary,test
1000,0,,0.9156983550707997,quaternary,test
1000,0,,0.988980564435808,ternary,test
1000,0,1.826042652130127,0.8888888888888888,average,validation
1000,0,,0.8611111111111112,binary,validation
1000,0,,0.8888888888888888,quaternary,validation
1000,0,,0.9166666666666666,ternary,validation
1200,0,0.0,1.0,average,train
1200,0,,1.0,binary,train
1200,0,,1.0,quaternary,train
1200,0,,1.0,ternary,train
1200,0,0.41515045426785946,0.9638671875,average,test
1200,0,,0.9880219075446235,binary,test
1200,0,,0.9044055660513903,quaternary,test
1200,0,,0.9855248917748918,ternary,test
1200,0,1.9426106214523315,0.8888888888888888,average,validation
1200,0,,0.8611111111111112,binary,validation
1200,0,,0.8888888888888888,quaternary,validation
1200,0,,0.9166666666666666,ternary,validation
1400,0,0.0,1.0,average,train
1400,0,,1.0,binary,train
1400,0,,1.0,quaternary,train
1400,0,,1.0,ternary,train
1400,0,0.42690152674913406,0.96484375,average,test
1400,0,,0.9875577668455575,binary,test
1400,0,,0.922629838817727,quaternary,test
1400,0,,0.9859880644764365,ternary,test
1400,0,1.997483253479004,0.8888888888888888,average,validation
1400,0,,0.8611111111111112,binary,validation
1400,0,,0.8888888888888888,quaternary,validation
1400,0,,0.9166666666666666,ternary,validation
1600,0,0.0,1.0,average,train
1600,0,,1.0,binary,train
1600,0,,1.0,quaternary,train
1600,0,,1.0,ternary,train
1600,0,0.4344083406031132,0.96484375,average,test
1600,0,,0.9892410362490149,binary,test
1600,0,,0.9106024465734055,quaternary,test
1600,0,,0.9849231922498729,ternary,test
1600,0,2.032698392868042,0.8888888888888888,average,validation
1600,0,,0.8611111111111112,binary,validation
1600,0,,0.8888888888888888,quaternary,validation
1600,0,,0.9166666666666666,ternary,validation
1800,0,0.0,1.0,average,train
1800,0,,1.0,binary,train
1800,0,,1.0,quaternary,train
1800,0,,1.0,ternary,train
1800,0,0.44034731015562834,0.96484375,average,test
1800,0,,0.9887694013303769,binary,test
1800,0,,0.9220731605768775,quaternary,test
1800,0,,0.983475247322817,ternary,test
1800,0,2.058722734451294,0.8888888888888888,average,validation
1800,0,,0.8611111111111112,binary,validation
1800,0,,0.8888888888888888,quaternary,validation
1800,0,,0.9166666666666666,ternary,validation
2000,0,0.0,1.0,average,train
2000,0,,1.0,binary,train
2000,0,,1.0,quaternary,train
2000,0,,1.0,ternary,train
2000,0,0.444501843303442,0.96484375,average,test
2000,0,,0.9877705627705629,binary,test
2000,0,,0.9197739023905903,quaternary,test
2000,0,,0.9855154330764087,ternary,test
2000,0,2.0790750980377197,0.8888888888888888,average,validation
2000,0,,0.8611111111111112,binary,validation
