stat,permutation,compare_method,model,parcel,it,pe,fmethod,cmethod,amethod,epoch,p_FDR,percentile,network
0.0597864553720631,False,corr,mlp_layer0,pTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0402495277133267,False,corr,mlp_layer1,pTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0195403619470714,False,corr,mlp_layer2,pTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.0425688133561313,False,corr,mlp_layer3,pTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.0424186829218837,False,corr,mlp_avg,pTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.0667595075494585,False,corr,pe_layer0,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0604679790106106,False,corr,pe_layer1,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0388709572119194,False,corr,pe_layer2,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0211591841146515,False,corr,pe_layer3,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.7,n/a
0.0467122598491004,False,corr,pe_avg,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0567004400201822,False,corr,attn_out_layer0,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0352954311685036,False,corr,attn_out_layer1,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.0187018996722168,False,corr,attn_out_layer2,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.0122805140730602,False,corr,attn_out_layer3,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.7,n/a
0.0306164476269183,False,corr,attn_out_avg,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0762879216583398,False,corr,mlp_layer0,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0561365221203853,False,corr,mlp_layer1,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0351003004379646,False,corr,mlp_layer2,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.049371916684796,False,corr,mlp_layer3,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.8,n/a
0.05895047344508,False,corr,mlp_avg,aTHA-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0917138096033312,False,corr,pe_layer0,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0755288403016742,False,corr,pe_layer1,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0565332324731588,False,corr,pe_layer2,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0455817607555017,False,corr,pe_layer3,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.0720322301169881,False,corr,pe_avg,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0692866792055606,False,corr,attn_out_layer0,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,0.9,n/a
0.050496522942696,False,corr,attn_out_layer1,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0424608926198291,False,corr,attn_out_layer2,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.03935175207637,False,corr,attn_out_layer3,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.051311807009488,False,corr,attn_out_avg,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0876758442874883,False,corr,mlp_layer0,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0850415657923755,False,corr,mlp_layer1,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
0.0583216667759078,False,corr,mlp_layer2,NAc-rh,0,learn-1.3,crossnobis,corr,euclidean,4000,1.0,1.0,n/a
