onset,duration,trial_type,LST_id,LST_id_orig,response_time,motor_onset,motor_duration,confidence_onset,confidence_duration,accuracy,motor_key,subject
4.522612293278144,5,Binary,26,9,1.1315253854154437,10.667349656379884,2,12.78791347000515,2,1.0,3,2
19.41681511425304,5,Quaternary,97,33,0.947313662738452,25.477987557982487,2,27.498376783843923,2,1.0,1,2
33.86012798491356,5,Ternary,48,16,1.0690114535900648,39.72089809220233,2,41.741414170996,2,1.0,3,2
48.06963330246981,5,Null,110,37,0.8981009574999916,54.2643690524128,2,56.28475791164601,2,1.0,3,2
62.88027963649438,5,Ternary,53,18,1.1366962922438688,68.89140346548811,2,70.91171496642892,2,1.0,2,2
77.52399557684839,5,Binary,29,10,1.1420398803784335,83.55166308137996,2,85.57209666910421,2,1.0,2,2
91.90040342442626,5,Quaternary,79,27,0.7530449955575023,98.14523361747706,2,100.16562504309876,2,0.0,1,2
106.47724953788564,5,Null,124,42,0.9943962652596384,112.32135534936424,2,114.34174750823875,2,1.0,2,2
127.86666714360764,5,Ternary,49,17,0.9565508293253516,133.9611923763423,2,135.9816226644216,2,1.0,2,2
142.1931609285457,5,Quaternary,96,32,0.8546189984790544,148.0706411600204,2,150.0909552273497,2,0.0,4,2
156.36919466996005,5,Ternary,68,23,0.963701155185845,162.49715371626007,2,164.51755870708075,2,1.0,2,2
170.89596393840657,5,Binary,27,9,0.7511572332732612,176.84025240344272,2,178.86064236255697,2,1.0,4,2
185.32254835353524,5,Null,123,41,0.7472504562483664,191.60079036253228,2,193.6211748222413,2,1.0,4,2
199.4318790833277,5,Binary,25,9,1.036313826985861,205.25929053558136,2,207.2796812279485,2,1.0,2,2
213.60810383739408,5,Null,140,47,0.8458899768756964,219.7192922660597,2,221.73971412172068,2,1.0,2,2
227.9511024354124,5,Quaternary,88,30,0.7022106992171757,233.72850706840472,2,235.74880683728225,2,0.0,1,2
248.67271450887893,5,Null,114,38,0.7884036007326358,254.88416771554512,2,256.9045507087467,2,1.0,1,2
262.8488384405282,5,Binary,20,7,1.3812251179224404,268.96001000435353,2,270.98040142997525,2,0.0,4,2
276.84119866766014,5,Quaternary,93,31,0.6024969615591544,282.58517022033993,2,284.60550775179763,2,0.0,4,2
291.0674192421793,5,Binary,32,11,0.9982781116523256,297.37904520347547,2,299.399378335409,2,1.0,1,2
305.9781870030565,5,Null,141,47,0.9766251226174064,311.77228012924024,2,313.80935711503844,2,1.0,3,2
320.2545753460781,5,Ternary,43,15,0.7956089206363686,326.1988330144486,2,328.21920134257016,2,1.0,1,2
334.2804801081238,5,Quaternary,74,25,1.247176030970877,340.42504259015914,2,342.4455077078019,2,1.0,4,2
348.2896344170167,5,Ternary,54,18,1.0042031701650558,354.3674843551307,2,356.38778375738184,2,1.0,3,2
369.6622462089126,5,Quaternary,94,32,1.3377787217195871,375.706742991395,2,377.7271006873343,2,0.0,2,2
384.1055286495339,5,Ternary,45,15,1.061308987509619,390.2836686629089,2,392.3039709981768,2,1.0,3,2
398.9829036590672,5,Binary,12,4,1.013338781083803,404.8103473744941,2,406.8308315567392,2,1.0,3,2
413.1924595711462,5,Quaternary,108,36,1.1274418941866315,419.0198673571304,2,421.0402554831089,2,0.0,2,2
427.6023492604236,5,Null,128,43,0.8333714988748397,433.3964489858936,2,435.41683491211006,2,1.0,3,2
441.6448904546305,5,Binary,33,11,1.0047688755857962,447.83965113520753,2,449.86003302852623,2,1.0,2,2
456.0881644628298,5,Null,111,37,,462.2996008046557,2,464.3200072619839,2,0.0,999,2
470.64833748143246,5,Ternary,39,13,0.7119798415460536,476.5926255798404,2,478.6130298374064,2,1.0,4,2
492.2047419413757,5,Null,121,41,1.202964117646843,498.0655087490232,2,500.0859361040875,2,1.0,2,2
506.3475493800906,5,Binary,10,4,0.8712143684206239,512.2417353362234,2,514.2620380381177,2,1.0,1,2
520.8408203086237,5,Quaternary,86,29,1.9457884945277328,526.6348474419538,2,528.6552319016628,2,1.0,3,2
534.9836559776159,5,Null,133,45,0.6263024175550527,541.2618785553841,2,543.2821779576352,2,1.0,4,2
549.5938167508757,5,Ternary,52,18,1.0281292464369471,555.4545699933242,2,557.4749988148978,2,1.0,1,2
563.7031434477722,5,Binary,13,5,0.947235204565004,569.6641240722693,2,571.6845118316214,2,1.0,1,2
