rho,roi
0.2835328474623291,R_FOP3_ROI
0.27597622607971545,R_FOP3_ROI
0.3790051693240286,R_FOP3_ROI
0.4042135668360535,R_FOP3_ROI
0.26873460281931655,R_FOP3_ROI
0.3271808319528716,R_FOP3_ROI
0.38709760180962405,R_FOP3_ROI
0.406493193149875,R_FOP3_ROI
0.3773598725375261,R_FOP3_ROI
0.44467363666689413,R_FOP3_ROI
0.44390020466928104,R_FOP3_ROI
0.3675297779412292,R_FOP3_ROI
0.469458207192467,R_FOP3_ROI
0.366993549596232,R_FOP3_ROI
0.32272500717694064,R_FOP3_ROI
0.35195646960019755,R_FOP3_ROI
0.3565973183736143,R_FOP3_ROI
0.35209172570083264,R_FOP3_ROI
0.3578604335130816,R_FOP3_ROI
0.41150589064750276,R_FOP3_ROI
0.3000241888726517,R_FOP3_ROI
0.3512062448424629,R_FOP3_ROI
0.3658479376792122,R_FOP3_ROI
0.39288299329804893,R_FOP3_ROI
0.3459935803453022,R_FOP3_ROI
0.4564877448814496,R_FOP3_ROI
0.3902405697410083,R_FOP3_ROI
0.3579405295770143,R_FOP3_ROI
0.3121066151909079,R_FOP3_ROI
0.2814919777633216,R_FOP3_ROI
0.3727889610154304,R_FOP3_ROI
0.37730581442072364,R_FOP3_ROI
0.3142686325589551,R_FOP3_ROI
0.32208237935862655,R_FOP3_ROI
0.31602408766723317,R_FOP3_ROI
0.3907104742851241,R_FOP3_ROI
0.28865688311557186,R_FOP3_ROI
0.40977954956064133,R_FOP3_ROI
0.30316882084777746,R_FOP3_ROI
0.4231024807003463,R_FOP3_ROI
0.40668326230865576,R_FOP3_ROI
0.4145965063767128,R_FOP3_ROI
0.3722995486895626,R_FOP3_ROI
0.44522330395376164,R_FOP3_ROI
0.3483192613366092,R_FOP3_ROI
0.3390757610276124,R_FOP3_ROI
0.4287791483421174,R_FOP3_ROI
0.35041916581462934,R_FOP3_ROI
0.4098473791679418,R_FOP3_ROI
0.33651302782657266,R_FOP3_ROI
0.42408110550297445,R_FOP3_ROI
0.5074738197897228,R_FOP3_ROI
0.36503794259042965,R_FOP3_ROI
0.3415525641449391,R_FOP3_ROI
0.3989558073555969,R_FOP3_ROI
0.4883118142430522,R_FOP3_ROI
0.43522472028220893,R_FOP3_ROI
0.2696078569572604,R_FOP3_ROI
0.3075813722263574,R_FOP3_ROI
0.39946324668944183,R_FOP3_ROI
0.3055386803004484,R_FOP3_ROI
0.3626415464676032,R_FOP3_ROI
0.45485205981718674,R_FOP3_ROI
0.338138218633084,R_FOP3_ROI
0.40860134065211673,R_FOP3_ROI
0.32113284102594997,R_FOP3_ROI
0.28678477932418345,R_FOP3_ROI
0.3959215707385231,R_FOP3_ROI
0.39610248267479237,R_FOP3_ROI
0.4520644465224771,R_FOP3_ROI
0.3633662362872161,R_FOP3_ROI
0.435338220563868,R_FOP3_ROI
0.3530696331869835,R_FOP3_ROI
0.34363305149024803,R_FOP3_ROI
0.55631671504307,R_FOP3_ROI
0.4765607395622349,R_FOP3_ROI
0.37730199036519074,R_FOP3_ROI
0.33745737326635,R_FOP3_ROI
0.37592621454254016,R_FOP3_ROI
0.48521113412232214,R_FOP3_ROI
0.3625956565964205,R_FOP3_ROI
0.378671975995178,R_FOP3_ROI
0.3383204995509999,R_FOP3_ROI
0.35697817616195904,R_FOP3_ROI
0.41491164068333664,R_FOP3_ROI
0.40859906566980997,R_FOP3_ROI
0.3615604287299623,R_FOP3_ROI
0.41248731285841866,R_FOP3_ROI
0.3975688541635878,R_FOP3_ROI
0.44320854076339034,R_FOP3_ROI
