rho,roi
0.3179307764887798,L_9m_ROI
0.3124628640275056,L_9m_ROI
0.24759594279426225,L_9m_ROI
0.33112985760044095,L_9m_ROI
0.3002711711980695,L_9m_ROI
0.35138946652328906,L_9m_ROI
0.30372366880208035,L_9m_ROI
0.373819251008139,L_9m_ROI
0.5127452743664367,L_9m_ROI
0.28127557520387836,L_9m_ROI
0.2881215951265882,L_9m_ROI
0.2983017647092482,L_9m_ROI
0.19108507500706157,L_9m_ROI
0.3487416002941466,L_9m_ROI
0.23344772603323985,L_9m_ROI
0.37092644328078095,L_9m_ROI
0.25611488650614517,L_9m_ROI
0.28213705433401687,L_9m_ROI
0.28897042526091987,L_9m_ROI
0.22048742880983496,L_9m_ROI
0.4300291130601317,L_9m_ROI
0.39834153388158094,L_9m_ROI
0.362378576420259,L_9m_ROI
0.26809034922796227,L_9m_ROI
0.3145399669381541,L_9m_ROI
0.3299748953843087,L_9m_ROI
0.3184106775176054,L_9m_ROI
0.28123802499559664,L_9m_ROI
0.2990275477112363,L_9m_ROI
0.40439081210109706,L_9m_ROI
0.2768303015454693,L_9m_ROI
0.34462899103095157,L_9m_ROI
0.33123175194939775,L_9m_ROI
0.19442819624195828,L_9m_ROI
0.3130907395577982,L_9m_ROI
0.33001072130946524,L_9m_ROI
0.2538112947477026,L_9m_ROI
0.3350399347526243,L_9m_ROI
0.2731552971495885,L_9m_ROI
0.208852068844203,L_9m_ROI
0.30161878991712693,L_9m_ROI
0.30105362687117165,L_9m_ROI
0.25033488282705674,L_9m_ROI
0.3628845181352204,L_9m_ROI
0.30068458294026046,L_9m_ROI
0.4026496087314584,L_9m_ROI
0.30154718735415753,L_9m_ROI
0.26036855749337245,L_9m_ROI
0.27897781714720554,L_9m_ROI
0.3250318148198426,L_9m_ROI
0.3334116867528909,L_9m_ROI
0.30920483480080546,L_9m_ROI
0.2402562334410718,L_9m_ROI
0.3593608798717427,L_9m_ROI
0.35315075838785437,L_9m_ROI
0.16873850135224788,L_9m_ROI
0.24001459883435386,L_9m_ROI
0.3270511502203596,L_9m_ROI
0.28315504250766194,L_9m_ROI
0.37480368897080685,L_9m_ROI
0.22842193176162545,L_9m_ROI
0.29580409087347526,L_9m_ROI
0.28474236531010283,L_9m_ROI
0.26290214653578836,L_9m_ROI
0.3278260320710678,L_9m_ROI
0.42917038214515746,L_9m_ROI
0.3119819669913873,L_9m_ROI
0.3551536811705511,L_9m_ROI
0.27422425916066884,L_9m_ROI
0.36456608474236474,L_9m_ROI
0.41150530480811676,L_9m_ROI
0.24659490312451604,L_9m_ROI
0.19961680102270157,L_9m_ROI
0.34763993296200757,L_9m_ROI
0.3717274460892719,L_9m_ROI
0.27124563791340817,L_9m_ROI
0.2707542915737329,L_9m_ROI
0.2723224814772165,L_9m_ROI
0.26339179425355513,L_9m_ROI
0.29462405177955875,L_9m_ROI
0.33595416507369236,L_9m_ROI
0.4029072389665207,L_9m_ROI
0.3621047126592147,L_9m_ROI
0.27144799199224123,L_9m_ROI
0.37540625015471785,L_9m_ROI
0.3133714496306631,L_9m_ROI
0.30656199848047827,L_9m_ROI
0.2989792695575747,L_9m_ROI
0.23032353387848326,L_9m_ROI
0.16632279128562544,L_9m_ROI
0.23052994066665944,L_9m_ROI
0.20765838115676455,L_9m_ROI
0.16605838375894433,L_9m_ROI
0.27929239027915864,L_9m_ROI
0.3929703875999878,L_9m_ROI
0.268017261274556,L_9m_ROI
0.21650194292988756,L_9m_ROI
0.31426459715358446,L_9m_ROI
0.2870387841692096,L_9m_ROI
0.23928109743709491,L_9m_ROI
0.40725193625656164,L_9m_ROI
0.34954716715989764,L_9m_ROI
0.274351570036777,L_9m_ROI
0.3432467213373982,L_9m_ROI
0.35028677055540725,L_9m_ROI
0.34503478289277656,L_9m_ROI
0.3402567286814321,L_9m_ROI
0.29815776464533295,L_9m_ROI
0.2844538201004969,L_9m_ROI
0.3476137187250139,L_9m_ROI
0.2221154374636,L_9m_ROI
0.22271153633164895,L_9m_ROI
0.31164950050715545,L_9m_ROI
0.3926022066135426,L_9m_ROI
0.30001470580004175,L_9m_ROI
0.2618442946887955,L_9m_ROI
0.3810974460020333,L_9m_ROI
0.3805649756066434,L_9m_ROI
0.24123690427221364,L_9m_ROI
0.315060604470508,L_9m_ROI
0.2762278064855588,L_9m_ROI
0.2561642877889221,L_9m_ROI
0.46995524783353887,L_9m_ROI
0.26758352541023284,L_9m_ROI
0.3269839735751693,L_9m_ROI
0.14486759194104243,L_9m_ROI
0.3203146873018949,L_9m_ROI
0.31747799961493667,L_9m_ROI
0.21207731616058526,L_9m_ROI
0.20824109656725417,L_9m_ROI
0.3288754432950868,L_9m_ROI
0.2880209577661675,L_9m_ROI
0.2927321275525617,L_9m_ROI
0.3092539024104818,L_9m_ROI
0.2663032405779888,L_9m_ROI
0.19161071208737285,L_9m_ROI
0.2785062758782297,L_9m_ROI
0.3238254506029873,L_9m_ROI
0.24154021146158566,L_9m_ROI
0.3080640210515474,L_9m_ROI
0.2759512980658321,L_9m_ROI
0.3150330357240238,L_9m_ROI
0.31153332821071,L_9m_ROI
0.2930356016689364,L_9m_ROI
0.2502062247815441,L_9m_ROI
0.3079412636622264,L_9m_ROI
0.19424884950682536,L_9m_ROI
